#timestamp [ns],p_RS_R_x [m],p_RS_R_y [m],p_RS_R_z [m],q_RS_w [],q_RS_x [],q_RS_y [],q_RS_z []
1403636579763555584,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.944822292098873584e-01,-5.277848902412798915e-02,-8.023747941267678208e-01,0.000000000000000000e+00
1403636579813555456,3.828659080033873507e-04,-9.857677965213577920e-05,-2.031801352968714766e-03,5.954498530672859280e-01,-5.392326778598014597e-02,-8.015765546447054524e-01,-2.603981058440916173e-03
1403636579863555584,1.860890574031456076e-03,-4.836911735436049569e-04,-7.697235663849246595e-03,5.933784054432972299e-01,-5.394548392540160497e-02,-8.030966992170608387e-01,-5.257796523848996643e-03
1403636579913555456,4.356345526500635806e-03,-1.130371847557219093e-03,-1.629173119247018242e-02,5.892111014560409421e-01,-5.431180442030855704e-02,-8.061297333879622329e-01,-5.946324026020451646e-03
1403636579963555584,-1.547583708462449241e-03,-3.781089681675878569e-03,-8.534765486288067859e-02,5.727310832933537599e-01,-5.363825784058720569e-02,-8.179540444031628832e-01,-7.295530820775992902e-03
1403636580013555456,-1.249503416423284642e-03,-5.601902927310007177e-03,-1.126078465049642346e-01,5.698684854862520188e-01,-5.518966171718894115e-02,-8.198607210276646073e-01,-5.692855623134348945e-03
1403636580063555584,-7.165430647266309971e-04,-6.713237875289145354e-03,-1.403227886744016217e-01,5.679034271614519236e-01,-5.425436331699928783e-02,-8.212677456398739251e-01,-7.839097584798886131e-03
1403636580113555456,-5.972117431847238971e-06,-7.216720150619687114e-03,-1.671940608323504440e-01,5.659648810983488598e-01,-5.607746216810029910e-02,-8.225002345204075471e-01,-5.695244857917206374e-03
1403636580163555584,1.064156464026371493e-03,-8.661422927495551066e-03,-1.931446592717971922e-01,5.646372843502518446e-01,-5.685620136159594967e-02,-8.233658100514451572e-01,-4.566434783297085472e-03
1403636580213555456,2.102062206506688513e-03,-9.829861319111690698e-03,-2.172413316066470756e-01,5.630967526429767611e-01,-5.666938002172339228e-02,-8.244356448595941966e-01,-4.061528755653229239e-03
1403636580263555584,3.521286053267970971e-03,-1.143531320842026099e-02,-2.395173956963125017e-01,5.608652137894204470e-01,-5.622405137663489400e-02,-8.259858508234462215e-01,-4.054904094178040166e-03
1403636580313555456,5.464204858541475175e-03,-1.305377490333354921e-02,-2.595916185913726970e-01,5.575356160206695888e-01,-5.437139632266665273e-02,-8.283523435971730242e-01,-5.493904572052217203e-03
1403636580363555584,7.651565791949872797e-03,-1.494959146037863097e-02,-2.774282314154389861e-01,5.528439351028405779e-01,-5.348967818411139163e-02,-8.315529821333748073e-01,-4.698473460375389606e-03
1403636580413555456,9.917375363448891618e-03,-1.648439993993762107e-02,-2.930245241774144804e-01,5.465773348498048634e-01,-5.247999723891270951e-02,-8.357455865014302709e-01,-5.327434811283288628e-03
1403636580463555584,1.206627668808885750e-02,-1.809168180843540377e-02,-3.044123676741780637e-01,5.393582199822561929e-01,-5.223398953233023695e-02,-8.404426436730614292e-01,-4.525877919717827269e-03
1403636580513555456,1.356303174563831988e-02,-1.931287100828359138e-02,-3.114825443017009698e-01,5.324129325049765660e-01,-5.217040837861929709e-02,-8.448660136998155101e-01,-4.017049419986849952e-03
1403636580563555584,1.395819997181448578e-02,-2.001510588042732311e-02,-3.085133907844256340e-01,5.271511936793538133e-01,-5.255911974075155868e-02,-8.481418201099708565e-01,-2.147304136733983130e-03
1403636580613555456,1.317151628783049325e-02,-2.034284729374452941e-02,-2.955903050805616661e-01,5.253300624510061079e-01,-5.232188079528741348e-02,-8.492882846512490591e-01,-3.947523336050017006e-04
1403636580663555584,1.158220456173580590e-02,-2.013327430851736752e-02,-2.739961729406465984e-01,5.265730137658528598e-01,-5.203739109631189130e-02,-8.485356055437431877e-01,-5.451843262453927785e-04
1403636580713555456,9.099149886069015855e-03,-1.954166839862062077e-02,-2.463477265892511092e-01,5.293709909181057993e-01,-5.105524378252677270e-02,-8.468470457981323030e-01,-3.130028700461516458e-03
1403636580763555584,5.930654003638755577e-03,-1.876497154174170193e-02,-2.142041038198333192e-01,5.334939499303290589e-01,-4.965241516361370427e-02,-8.443135479610450744e-01,-7.312713968694085215e-03
1403636580813555456,2.268188517534865199e-03,-1.789206253668124483e-02,-1.787130776550535649e-01,5.390409967700999783e-01,-4.880337885068901371e-02,-8.407718192540982738e-01,-1.248126443944004571e-02
1403636580863555584,-1.829410671717373194e-03,-1.671365295459948178e-02,-1.403486746271304930e-01,5.448341832353126302e-01,-4.884019997630814625e-02,-8.369067959569093107e-01,-1.890403464142281428e-02
1403636580913555456,-6.041155231126405650e-03,-1.553663755282177344e-02,-1.022361247752132524e-01,5.509563690901906341e-01,-4.898029531353507993e-02,-8.327108979225308349e-01,-2.530949448340034588e-02
1403636580963555584,-9.645066338454454449e-03,-1.544087942015971888e-02,-6.406433563683956722e-02,5.569288413939119664e-01,-4.849917318027876373e-02,-8.286494844956615591e-01,-2.860293113544104190e-02
1403636581013555456,-1.240112750126319378e-02,-1.572077397814391000e-02,-2.809614785475301676e-02,5.626183802594819650e-01,-4.742293952034228738e-02,-8.248163195123322522e-01,-2.982720348234402935e-02
1403636581063555584,-1.511621309459804281e-02,-1.606679218329929923e-02,5.802420285546785843e-03,5.681309628828478120e-01,-4.714807593045078349e-02,-8.210612376855446204e-01,-2.937195805775491553e-02
1403636581113555456,-1.785350739446558629e-02,-1.555449078461356230e-02,3.742276253733609753e-02,5.735428093331871313e-01,-4.804242138976841381e-02,-8.172297188787920330e-01,-2.959996943400517236e-02
1403636581163555584,-1.988520807562058068e-02,-1.513672510797829836e-02,6.647228271855434856e-02,5.800408820389425513e-01,-5.040539311733222699e-02,-8.125178460416123682e-01,-2.875102384388658269e-02
1403636581213555456,-2.151561140576499845e-02,-1.328381347711076431e-02,9.192923929439536512e-02,5.866891308472544919e-01,-5.206412309825231288e-02,-8.076384910584335497e-01,-2.837707864738492000e-02
1403636581263555584,-2.213764743596155493e-02,-1.200252122330437016e-02,1.146202559788511294e-01,5.944023497158333891e-01,-5.358676329189468457e-02,-8.019078283020155684e-01,-2.753434873280924053e-02
1403636581313555456,-2.129740347057537328e-02,-1.116890128372829451e-02,1.322126949932713458e-01,6.007199806563623401e-01,-5.241366393963403647e-02,-7.972339217211388274e-01,-2.839694930403770939e-02
1403636581363555584,-1.963067248729948380e-02,-1.098507243814385824e-02,1.424360116513947727e-01,6.056193697594393077e-01,-5.219665662782484866e-02,-7.934890227335974489e-01,-2.959491189946334214e-02
1403636581413555456,-1.748625891776747418e-02,-1.006682751599058054e-02,1.435950798703255482e-01,6.070912882373572517e-01,-5.116683137692992073e-02,-7.922896181660713522e-01,-3.315545293630968449e-02
1403636581463555584,-1.583601347198756656e-02,-9.053136501642498196e-03,1.348544008872092081e-01,6.052520019710228016e-01,-4.955157751209919581e-02,-7.936803135780634566e-01,-3.586384132741961966e-02
1403636581513555456,-1.453853547755304398e-02,-7.999960107037837331e-03,1.168928542196780995e-01,5.998652631299852267e-01,-4.858684776441268144e-02,-7.977273686500419014e-01,-3.784216723433692087e-02
1403636581563555584,-1.394946736633824978e-02,-7.113573706633999350e-03,9.240925543659073149e-02,5.942756908773628721e-01,-5.027050523706198121e-02,-8.018277175613488517e-01,-3.716975767746499154e-02
1403636581613555456,-1.317253261655416605e-02,-6.216659047826593627e-03,6.370828631302018208e-02,5.891960540012231018e-01,-5.102145453456747443e-02,-8.056172219478958674e-01,-3.501018176930354581e-02
1403636581663555584,-1.234820784121001304e-02,-5.474433742567261056e-03,3.221556833598662045e-02,5.846395473463819048e-01,-5.272002353897040777e-02,-8.089083687381822818e-01,-3.293098513559986062e-02
1403636581713555456,-1.135247459172947920e-02,-3.908340729962250966e-03,-1.396731751572641735e-05,5.820825775113533940e-01,-5.107940944147085216e-02,-8.108483716740030323e-01,-3.310113355260742296e-02
1403636581763555584,-9.916560037582986681e-03,-2.645167957646797283e-03,-3.335910456208315833e-02,5.809336744005711983e-01,-5.180413811802035695e-02,-8.117129368910143139e-01,-3.089506926784108681e-02
1403636581813555456,-7.581911941524809712e-03,-2.425845903078341099e-03,-6.672482013539428325e-02,5.800933510647314773e-01,-5.018094405468344343e-02,-8.125125094589416008e-01,-2.823116853770368459e-02
1403636581863555584,-5.285686015333528227e-03,-2.277662091051753119e-03,-1.009070358909795462e-01,5.780688900163867272e-01,-5.010341336905831805e-02,-8.140040358087623495e-01,-2.689676655360713486e-02
1403636581913555456,-2.718665656382452615e-03,-3.046851385670340875e-03,-1.345183020030641385e-01,5.744231429928001731e-01,-5.112031618192552224e-02,-8.166136344392577184e-01,-2.381046231469770291e-02
1403636581963555584,-6.598137724641259553e-04,-3.782206505878619139e-03,-1.668197889643529275e-01,5.690214086573578411e-01,-5.342192538438199356e-02,-8.202162881346993784e-01,-2.461656061186219893e-02
1403636582013555456,1.060068773510439676e-03,-4.486526589368812663e-03,-1.969202667825831199e-01,5.623398346847030549e-01,-5.591215719144392721e-02,-8.246378026426998131e-01,-2.490452684954878870e-02
1403636582063555584,2.972262513961907576e-03,-5.466175080857571707e-03,-2.239645903061888155e-01,5.550630111080383511e-01,-5.694167315632928800e-02,-8.294590570371430660e-01,-2.569770917589774689e-02
1403636582113555456,4.973292272700447110e-03,-6.764811300331844378e-03,-2.461077810738778460e-01,5.477815081786003848e-01,-5.637986264657111890e-02,-8.343363444259014328e-01,-2.529021066648795904e-02
1403636582163555584,7.092912985839132378e-03,-9.085252725180525263e-03,-2.620943899120594112e-01,5.419456668999635962e-01,-5.615055273676770875e-02,-8.382203884452918974e-01,-2.299108414871332481e-02
1403636582213555456,8.633499018765249111e-03,-1.105425845179070117e-02,-2.700147899685736985e-01,5.371128126649218348e-01,-5.485556307882005767e-02,-8.414472805722208459e-01,-2.161406227659759538e-02
1403636582263555584,9.121597928329346072e-03,-1.253319753368960926e-02,-2.698160616769971210e-01,5.339625287876291759e-01,-5.420469154657552718e-02,-8.435137126110803241e-01,-2.074815418615574489e-02
1403636582313555456,7.848180666163799210e-03,-1.384063670248180181e-02,-2.600548239333878575e-01,5.329506878883009113e-01,-5.350927081990393408e-02,-8.442304655670053171e-01,-1.937119573558189131e-02
1403636582363555584,6.060170319030412471e-03,-1.615237431936530910e-02,-2.425773786832063905e-01,5.357205063696730551e-01,-5.365774053533079596e-02,-8.424948102426249585e-01,-1.807984098126015279e-02
1403636582413555456,3.879897394981535533e-03,-1.708143552966628551e-02,-2.175780642775590190e-01,5.410181199590822221e-01,-5.326200808317506363e-02,-8.391264880281709138e-01,-1.814633462702596942e-02
1403636582463555584,1.592460173114535913e-03,-1.751163333472949973e-02,-1.886744691254620687e-01,5.473666476563151528e-01,-5.346499968358702642e-02,-8.349815892177132604e-01,-1.835735574050677277e-02
1403636582513555456,-8.485870081732992077e-04,-1.765144899996881969e-02,-1.574250987464745066e-01,5.524429886731423434e-01,-5.245891677379829754e-02,-8.316306086891537275e-01,-2.110300945632777314e-02
1403636582563555584,-1.599788590427267182e-03,-1.822655826753076871e-02,-1.241707373964482664e-01,5.560443188714938589e-01,-5.302610930489971841e-02,-8.291369655738241029e-01,-2.312659728002677134e-02
1403636582613555456,-3.581906385158838569e-03,-1.754613605996640027e-02,-9.109724163766305671e-02,5.585195723367304410e-01,-5.283717289538503170e-02,-8.273685707590534566e-01,-2.693266784668709932e-02
1403636582663555584,-4.569717903721483114e-03,-1.619301281391049077e-02,-5.752523295081053700e-02,5.605385909692330859e-01,-5.420709562436014373e-02,-8.258324487646122591e-01,-2.930606397390364548e-02
1403636582713555456,-6.262939685266096825e-03,-1.471089197265488396e-02,-2.486989124332366144e-02,5.627863839953870517e-01,-5.540534440168972535e-02,-8.241972007562868852e-01,-3.001179879027586830e-02
1403636582763555584,-8.329129954210444386e-03,-1.252722730736914244e-02,7.497236640530372670e-03,5.658081280291186177e-01,-5.806583532436786904e-02,-8.219098505127800935e-01,-3.088233563588231589e-02
1403636582813555456,-1.042921362623982703e-02,-9.832941100902185469e-03,3.913503138986739599e-02,5.698090665278178202e-01,-6.179831792293529608e-02,-8.188068266909915849e-01,-3.246499913477865484e-02
1403636582863555584,-1.269405662562855634e-02,-6.706299728953504097e-03,7.088886367879014549e-02,5.752839362409780666e-01,-6.622056974864863610e-02,-8.145183732143196353e-01,-3.497211091068222477e-02
1403636582913555456,-1.385031982285553527e-02,-4.294216417741671121e-03,1.009289040157083095e-01,5.818032865557050126e-01,-6.998258187853653722e-02,-8.094982744049797896e-01,-3.633067191718583611e-02
1403636582963555584,-1.396932360912516574e-02,-1.338064888790486007e-03,1.275523306033750359e-01,5.887659941129937957e-01,-7.107486801073636951e-02,-8.042808863517735274e-01,-3.788433927891932812e-02
1403636583013555456,-1.337140018224865570e-02,2.497932194107887983e-04,1.486126698171056915e-01,5.954788576897891428e-01,-7.220180701638531651e-02,-7.991457151424860017e-01,-3.947093965739213728e-02
1403636583063555584,-1.310501122127063177e-02,1.427525674958768798e-03,1.623544958665472937e-01,6.004055977888611562e-01,-7.126697575503324056e-02,-7.955032741289551623e-01,-4.010831784860063864e-02
1403636583113555456,-1.248058306704770588e-02,2.450753340943289185e-03,1.689750175601376081e-01,6.024033597890998681e-01,-7.078736497191388810e-02,-7.939457513740361128e-01,-4.182684485177842054e-02
1403636583163555584,-1.193462624060125793e-02,3.379812442529379294e-03,1.664566282666615216e-01,6.023930275099765863e-01,-7.011336543972872259e-02,-7.938492007794442085e-01,-4.483528538904774791e-02
1403636583213555456,-1.139585921585539730e-02,4.274931118792862743e-03,1.555525405861359345e-01,6.018563316928441376e-01,-6.891377967912799829e-02,-7.942875389562128463e-01,-4.612106276369525026e-02
1403636583263555584,-1.138027218589304952e-02,3.575010938005302331e-03,1.374721118593937863e-01,6.002564908363909879e-01,-6.770655240218312332e-02,-7.955949738322891651e-01,-4.622343110794664006e-02
1403636583313555456,-1.132935846527090284e-02,4.457541805125969994e-03,1.142066873807204980e-01,5.988907304360295836e-01,-6.721289445398556661e-02,-7.967241161088870482e-01,-4.519958658471684432e-02
1403636583363555584,-1.151439863505713916e-02,5.414051778267801353e-03,8.647775012506282721e-02,5.972347799538330060e-01,-6.635148092533024733e-02,-7.980638194796610962e-01,-4.474638119498741684e-02
1403636583413555456,-1.180384273452587604e-02,6.795188461235385571e-03,5.543386790075648801e-02,5.957423293398014241e-01,-6.565779469988937411e-02,-7.993685591891722675e-01,-4.230883604829830530e-02
1403636583463555584,-1.120438209207057223e-02,7.992093864165805348e-03,2.221463985631120727e-02,5.929769905883818248e-01,-6.305865217689184121e-02,-8.016951260622178221e-01,-4.107091265682807912e-02
1403636583513555456,-1.044529699386209480e-02,8.451802646365571756e-03,-1.190095936611666218e-02,5.899349876973554174e-01,-6.162197466633633630e-02,-8.040816354331574711e-01,-4.040007534499457514e-02
1403636583563555584,-9.275164039040198830e-03,9.379569626609105676e-03,-4.687481569174035967e-02,5.858595311318071097e-01,-6.030002960834739134e-02,-8.071454706560312609e-01,-4.060425360359972563e-02
1403636583613555456,-8.584292079254983096e-03,9.615857329050054789e-03,-8.218727888978968887e-02,5.806159021343950677e-01,-6.066973197789803790e-02,-8.107696634276653214e-01,-4.309188642637030997e-02
1403636583663555584,-7.687834598101113068e-03,9.291378974042436428e-03,-1.170750160571354115e-01,5.745300643124980899e-01,-6.080073904481130692e-02,-8.153078720794847412e-01,-3.862057816636586816e-02
1403636583713555456,-6.655858292658424144e-03,8.340630281183245009e-03,-1.505929357864840834e-01,5.660671854715819684e-01,-6.339404206538279407e-02,-8.212045366379968625e-01,-3.423807775076047333e-02
1403636583763555584,-5.457593642722979171e-03,7.395106401409453668e-03,-1.810916354669528938e-01,5.565433665322551127e-01,-6.569341953655059851e-02,-8.276911411891663128e-01,-2.951661558367060789e-02
1403636583813555456,-3.681535444808123596e-03,6.584358629820779088e-03,-2.093869299267117345e-01,5.481800783345520678e-01,-6.800119833348779175e-02,-8.331528392308155118e-01,-2.703303948809352222e-02
1403636583863555584,-1.671401245247229085e-03,5.770779572960312194e-03,-2.349112457492992800e-01,5.419064873779592117e-01,-6.839268884350765965e-02,-8.372304963357024565e-01,-2.654985980961886358e-02
1403636583913555456,6.823179157323293678e-04,5.396199750329440034e-03,-2.567533528518591290e-01,5.374525433825847465e-01,-6.628461058407537909e-02,-8.402021311874490195e-01,-2.848671197904600536e-02
1403636583963555584,3.539418368389266479e-03,4.689734632789032201e-03,-2.739010183583713842e-01,5.348798606998675931e-01,-6.285308437855648134e-02,-8.420894496042550248e-01,-2.895484876484848494e-02
1403636584013555456,5.741556319120021297e-03,2.981303705172330936e-03,-2.845647657754666326e-01,5.335355783729541779e-01,-6.001829310356983360e-02,-8.431997829742382544e-01,-2.741745968117299120e-02
1403636584063555584,7.019696868855849863e-03,1.157418627281317719e-03,-2.890494736306842283e-01,5.337004076442720679e-01,-5.703728448443667887e-02,-8.433772643933791224e-01,-2.500825790253296058e-02
1403636584113555456,7.126128831552824665e-03,-3.510430492457129693e-04,-2.864648587537930724e-01,5.338024532151408597e-01,-5.556093172309375938e-02,-8.434823021564741286e-01,-2.248398888928351130e-02
1403636584163555584,6.089734679594014169e-03,-1.161639717625494736e-03,-2.762882147562903956e-01,5.336806015597089781e-01,-5.407668353269511757e-02,-8.436916589264085165e-01,-2.109768885392169363e-02
1403636584213555456,4.497011638860242029e-03,-1.449055162834997964e-03,-2.591159901875865201e-01,5.337913547037178574e-01,-5.306038013540646803e-02,-8.436872248852663736e-01,-2.105355715440996797e-02
1403636584263555584,2.387182293854465780e-03,-1.543711486921407836e-03,-2.363652633887388665e-01,5.349930239085358696e-01,-5.293775264593091751e-02,-8.429357366365514137e-01,-2.096193252048792269e-02
1403636584313555456,2.812174458725130656e-04,-1.506996845862161594e-03,-2.094092519238413830e-01,5.367318970847643200e-01,-5.278847976989429341e-02,-8.418292103727449405e-01,-2.135011987260057240e-02
1403636584363555584,-3.117516285812505904e-03,-7.947612504830810568e-04,-1.788591340628432058e-01,5.377838652782644946e-01,-5.198866593400117142e-02,-8.411491232884297231e-01,-2.353391705344672416e-02
1403636584413555456,-7.092245963998577638e-03,6.952988394530829020e-04,-1.453354868021376478e-01,5.391286889464902421e-01,-5.147065160493693309e-02,-8.401598355048464084e-01,-2.867890483737963597e-02
1403636584463555584,-1.165505510221119360e-02,2.265037041407686868e-03,-1.106624521192350191e-01,5.420512183789835126e-01,-5.119711019300231258e-02,-8.381343262127316507e-01,-3.301793127492428509e-02
1403636584513555456,-1.588285518671637281e-02,3.696214913438387178e-03,-7.474451704781413797e-02,5.465756191618450499e-01,-5.157649778251474637e-02,-8.350825497853568979e-01,-3.510117460033131825e-02
1403636584563555584,-2.002056931939832918e-02,4.761668972348071134e-03,-3.832752767828576795e-02,5.522990082447803983e-01,-5.305107501916681706e-02,-8.311531949971264766e-01,-3.654798732094050040e-02
